question,A,B,C,D,answer
2+2 bằng bao nhiêu?,3,4,5,6,B
Thủ đô của Pháp là gì?,Berlin,Paris,Madrid,Rome,B
Hành tinh lớn nhất trong Hệ Mặt Trời là gì?,Trái Đất,Thủy Tinh,Thổ Tinh, Mộc Tinh,D
Nhiệt độ sôi của nước ở mực nước biển là bao nhiêu?,90°C,95°C,100°C,105°C,C
Ai là người sáng lập ra Microsoft?,Steve Jobs,Bill Gates,Elon Musk,Mark Zuckerberg,B
Thủ đô của Việt Nam là thành phố nào?,Hồ Chí Minh,Hải Phòng,Đà Nẵng,Hà Nội,D
Ký hiệu hóa học O là tên của nguyên tố nào?,Hydro,Oxy,Carbon,Nitơ,B
Loài được gọi là "chúa sơn lâm" là?,Hổ,Sư tử,Voi,Báo,A
Việt Nam giành độc lập vào năm nào?,1945,1954,1975,1930,A
Màu không thuộc bộ cơ bản đỏ, xanh lam, vàng là?,Đỏ,Xanh lá,Xanh lam,Vàng,B
Đơn vị tiền tệ Việt Nam là gì?,Dollar,Euro,VND,Pound,C
Hồ Gươm nằm ở thành phố nào?,Huế,Hải Phòng,Đà Nẵng,Hà Nội,D
Hành tinh gần Mặt Trời nhất là?,Sao Thủy,Sao Kim,Trái Đất,Sao Hỏa,A
Ai là tác giả của "Truyện Kiều"?,Nguyễn Trãi,Nguyễn Du,Nguyễn Ái Quốc,Nguyễn Minh Châu,B
Loài vật nào được biết đến với khả năng thay đổi màu sắc?,Cá mập,Cá ngựa,Cá tắc kè,Cá voi,C
Thành phố lớn nhất Việt Nam là?,Hà Nội,Đà Nẵng,Hải Phòng,TP. Hồ Chí Minh,D
Ai là người phát minh ra bóng đèn điện?,Nikola Tesla,Thomas Edison,Alexander Graham Bell,James Watt,B
Quốc kỳ của Việt Nam có màu gì?,Đỏ và Vàng,Đỏ và Trắng,Xanh và Trắng,Đỏ và Xanh,A
Loài chim nào không biết bay?,Chim cánh cụt,Chim đại bàng,Chim sẻ,Chim bồ câu,A
Ai là nhà văn nổi tiếng với tác phẩm "1984"?,Aldous Huxley,George Orwell,J.K. Rowling,Ernest Hemingway,B
Thành phố nào được mệnh danh là "Thành phố ánh sáng"?,New York,London,Paris,Tokyo,C
Loài cá nào lớn nhất thế giới?,Cá mập trắng,Cá voi xanh,Cá ngừ,Cá heo,B
Ai là người đầu tiên đặt chân lên Mặt Trăng?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Michael Collins,B
Trong lịch sử Việt Nam, triều đại nào kéo dài lâu nhất?,Nhà Lý,Nhà Trần,Nhà Nguyễn,Nhà Hậu Lê,C
Thành phố nào là thủ đô của Nhật Bản?,Osaka,Kyoto,Tokyo,Hiroshima,C
Loài động vật nào được biết đến với khả năng sống lâu nhất?,Rùa,Chim cánh cụt,Cá voi,Hươu cao cổ,A
Ai là người sáng lập ra Facebook?,Larry Page,Mark Zuckerberg,Steve Jobs,Jeff Bezos,B
Loài hoa nào được coi là biểu tượng của tình yêu?,Hoa hồng,Hoa cúc,Hoa lan,Hoa tulip,A
Thành phố nào nổi tiếng với tên gọi "Thành phố không bao giờ ngủ"?,Los Angeles,New York,Chicago,Miami,B
Ai là người viết tác phẩm "Chiến tranh và hòa bình"?,Leo Tolstoy,Fyodor Dostoevsky,Anton Chekhov,Alexander Pushkin,A
Loài động vật nào có khả năng tái sinh chi bị mất?,Ếch,Cá ngựa,Sứa,Thằn lằn,D
Ai là người phát minh ra máy bay?,Wright Brothers,Leonardo da Vinci,Thomas Edison,Alexander Graham Bell,A
Thành phố nào là thủ đô của Úc?,Sydney,Melbourne,Canberra,Brisbane,C
Loài động vật nào được biết đến với khả năng bay cao nhất?,Chim ưng,Chim hải âu,Chim bồ câu,Chim ruồi,A
Ai là người sáng lập ra Apple?,Steve Jobs,Bill Gates,Elon Musk,Mark Zuckerberg,A
Thành phố nào nổi tiếng với tên gọi "Thành phố của các kênh đào"?,Amsterdam,Venice,Bruges,Copenhagen,B
Loài động vật nào có khả năng sống sót trong môi trường khắc nghiệt nhất?,Rùa nước,Cá voi,Chim cánh cụt,Chó sói,A
Ai là người viết tác phẩm "Hamlet"?,William Shakespeare,Charles Dickens,Mark Twain,Jane Austen,A
Thành phố nào là thủ đô của Canada?,Toronto,Vancouver,Ottawa,Montreal,C
Loài động vật nào được biết đến với khả năng thay đổi giới tính?,Cá bảy màu,Cá ngựa,Cá chép,Cá rô,C
Ai là người phát minh ra điện thoại?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,A
Thành phố nào nổi tiếng với tên gọi "Thành phố của những cánh hoa anh đào"?,Seoul,Tokyo,Kyoto,Osaka,B
Loài động vật nào sống lâu nhất trong các loài có xương sống?,Cá voi,Rùa,Voi,Cá mập,B
Ai là người sáng lập ra Amazon?,Jeff Bezos,Elon Musk,Bill Gates,Steve Jobs,A
Thành phố nào là thủ đô của Brazil?,Rio de Janeiro,São Paulo,Brasília,Salvador,C
Nhiệt độ trung bình cơ thể người?,35°C,36–37°C,38°C,39°C,B
Ai phát hiện ra Penicillin?,Newton,Einstein,Alexander Fleming,Galileo,C
Kim tự tháp Giza thuộc nước nào?,Mỹ,Nhật,Trung Quốc,Ai Cập,D
Ngôn ngữ phổ biến nhất thế giới?,Anh,Tây Ban Nha,Trung Quốc,Hindi,C
Quốc gia đông dân nhất?,Nga,Mỹ,Ấn Độ,Trung Quốc,C
Biển lớn nhất thế giới?,Biển Đỏ,Biển Đen,Biển Philippines,Biển Đông,C
Hành tinh có vành đai nổi bật nhất?,Sao Kim,Sao Mộc,Sao Thổ,Sao Hải Vương,C
Tác giả “Những người khốn khổ”?,Victor Hugo,Mark Twain,Shakespeare,Dickens,A
Động vật chạy nhanh nhất?,Ngựa,Báo Gepa,Hổ,Sói,B
Quốc gia rộng nhất thế giới?,Mỹ,Canada,Trung Quốc,Nga,D
CPU là viết tắt của?,Central Public Unit,Central Processing Unit,Computer Power Unit,Control Unit,B
Ai tạo ra thuyết tương đối?,Einstein,Newton,Kepler,Galileo,A
Kim loại nhẹ nhất?,Sắt,Nhôm,Liti,Canxi,C
Đơn vị đo dòng điện?,Vôn,Ampe,Ôm,Watt,B
pH < 7 thuộc loại?,Bazơ,Trung tính,Axít,Nước tinh khiết,C
Quốc kỳ Mỹ có bao nhiêu sao?,30,40,50,60,C
Từ chỉ động vật ăn thịt?,Herbivore,Carnivore,Omnivore,Fructivore,B
Cơ thể người chứa nhiều nhất?,Protein,Nước,Muối,Canxi,B
Voi thuộc nhóm nào?,Thú,Chim,Lưỡng cư,Bò sát,A
Nhiệt độ đóng băng của nước?,5°C,0°C,-1°C,10°C,B
Hành tinh đỏ?,Sao Thủy,Sao Kim,Sao Hỏa,Sao Mộc,C
Lục địa nhỏ nhất?,Châu Âu,Châu Úc,Châu Phi,Châu Nam Cực,B
Oxy chiếm bao nhiêu % không khí?,78%,21%,15%,5%,B
Nơi lạnh nhất thế giới?,Sahara,Greenland,Châu Nam Cực,Alaska,C
Chất gì giúp hô hấp?,CO2,O2,H2,N2,B
Quốc gia có nhiều núi lửa nhất?,Indonesia,Nga,Mỹ,Nhật Bản,A
Nơi nào là đại dương lớn nhất?,Thái Bình Dương,Ấn Độ Dương,Đại Tây Dương,Bắc Băng Dương,A
Thao tác nào lưu file?,Ctrl+X,Ctrl+V,Ctrl+S,Ctrl+A,C
Đơn vị đo áp suất?,Pascal,Newton,Joule,Watt,A
Ai phát minh ra máy in?,Johannes Gutenberg,Thomas Edison,Nikola Tesla,Alexander Graham Bell,A
Đơn vị đo tần số?,Watt,Hertz,Volt,Ohm,B
Chất nào làm cho lá cây có màu xanh?,Chlorophyll,Carotenoid,Xanthophyll,Anthocyanin,A
Động vật nào đẻ trứng?,Cá voi,Chim cánh cụt,Thú mỏ vịt,Hươu cao cổ,C
Loài cá nào có răng giống con người?,Cá mập,Cá hổ,Cá bàng chài,Cá rô phi,B
Ai là người phát minh ra máy tính?,Charles Babbage,Alan Turing,John von Neumann,Steve Jobs,A
Thành phố nào là thủ đô của Đức?,Munich,Berlin,Frankfurt,Hamburg,B
Loài vật nào có bộ não lớn nhất?,Cá voi xanh,Đười ươi,Chim đại bàng,Voi,A
Ai là người viết "Chí Phèo"?,Nguyễn Du,Nguyễn Minh Châu,Nguyễn Công Trứ,Nguyễn Văn Vĩnh,B
Thành phố nào là thủ đô của Ý?,Milan,Rome,Venice,Florence,B
Loài vật nào có khả năng nhìn ban đêm tốt nhất?,Mèo,Chim cú,Chó,Cá mập,B
Ai là người phát minh ra máy in?,Johannes Gutenberg,Thomas Edison,Nikola Tesla,Alexander Graham Bell,A
Thành phố nào là thủ đô của Tây Ban Nha?,Barcelona,Madrid,Seville,Valencia,B        
Loài vật nào có khả năng sống sót trong môi trường khắc nghiệt nhất?,Rùa nước,Cá voi,Chim cánh cụt,Chó sói,A
Ai là người viết tác phẩm "Hamlet"?,William Shakespeare,Charles Dickens,Mark Twain,Jane Austen,A
Thành phố nào là thủ đô của Canada?,Toronto,Vancouver,Ottawa,Montreal,C
Loài động vật nào có tim lớn nhất?,Voi,Cá voi xanh,Hổ,Hươu cao cổ,B
Ai là người phát hiện ra châu Mỹ?,Christopher Columbus,Vasco da Gama,Ferdinand Magellan,James Cook,A
Thành phố nào là thủ đô của Nga?,Moscow,St. Petersburg,Volgograd,Novosibirsk,A
Loài vật nào có lưỡi dài nhất so với cơ thể?,Kiến,Ếch,Tắc kè,Cá rô,C
Ai là người sáng lập Tesla?,Elon Musk,Steve Jobs,Bill Gates,Jeff Bezos,A
Thành phố nào là thủ đô của Hàn Quốc?,Busan,Seoul,Incheon,Daegu,B
Loài vật nào ngủ ít nhất?,Hươu cao cổ,Voi,Ngựa,Bò,A
Ai là tác giả của "Harry Potter"?,J.K. Rowling,Stephen King,George R.R. Martin,J.R.R. Tolkien,A
Thành phố nào là thủ đô của Thái Lan?,Phuket,Chiang Mai,Bangkok,Pattaya,C
Loài vật nào có nhiều răng nhất?,Cá mập,Cá sấu,Rắn,Ốc sên,D
Ai là người phát minh ra radio?,Guglielmo Marconi,Thomas Edison,Nikola Tesla,Alexander Graham Bell,A
Thành phố nào là thủ đô của Ai Cập?,Alexandria,Cairo,Luxor,Aswan,B
Loài chim nào chạy nhanh nhất?,Đà điểu,Chim cánh cụt,Gà tây,Chim ruồi,A
Ai là người sáng lập Google?,Larry Page và Sergey Brin,Mark Zuckerberg,Steve Jobs,Bill Gates,A
Thành phố nào là thủ đô của Argentina?,Buenos Aires,Córdoba,Rosario,Mendoza,A
Loài vật nào có khả năng nghe siêu âm?,Dơi,Mèo,Chó,Voi,A
Ai là người viết tác phẩm "Romeo và Juliet"?,William Shakespeare,Charles Dickens,Oscar Wilde,Mark Twain,A
Thành phố nào là thủ đô của Thụy Sĩ?,Zurich,Geneva,Bern,Basel,C
Loài vật nào có thể sống không cần nước lâu nhất?,Lạc đà,Voi,Ngựa,Bò,A
Ai là người phát minh ra máy hơi nước?,James Watt,Thomas Edison,George Stephenson,Nikola Tesla,A
Thành phố nào là thủ đô của Thổ Nhĩ Kỳ?,Istanbul,Ankara,Izmir,Antalya,B
Loài vật nào có khả năng tái sinh hoàn toàn?,Sứa Turritopsis,Bạch tuộc,Sao biển,Tôm hùm,A
Ai là người viết "Nhà giả kim"?,Paulo Coelho,Gabriel García Márquez,Jorge Luis Borges,Octavio Paz,A
Thành phố nào là thủ đô của Mexico?,Guadalajara,Monterrey,Mexico City,Cancún,C
Loài vật nào có xương nhiều nhất?,Con người,Mèo,Rắn,Chó,C
Ai là người sáng lập Disney?,Walt Disney,Steven Spielberg,George Lucas,James Cameron,A
Thành phố nào là thủ đô của Ba Lan?,Kraków,Warsaw,Gdańsk,Wrocław,B
Loài vật nào có mắt lớn nhất?,Mực khổng lồ,Cá voi,Voi,Hươu cao cổ,A
Ai là người phát minh ra vaccine đầu tiên?,Edward Jenner,Louis Pasteur,Alexander Fleming,Jonas Salk,A
